epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3926,0.94938,2.17997,1.51548,0.96894,0.8,0.90611,0.64061,0.57405,5.68574,0.95901,0.00012,0.00012,0.00012
2,26.0912,0.36566,1.1237,1.10424,0.99027,1,0.995,0.95504,0.36027,1.7473,0.58189,0.000254852,0.000254852,0.000254852
3,38.6224,0.25028,0.68068,0.99882,0.92232,1,0.995,0.97103,0.31531,1.32923,0.49561,0.00038416,0.00038416,0.00038416
4,50.9185,0.24652,0.56705,0.95854,0.98085,1,0.995,0.93388,0.38518,1.22679,0.6052,0.000507924,0.000507924,0.000507924
5,63.2325,0.27073,0.57739,0.9644,0.81209,1,0.995,0.995,0.23416,1.42666,0.4027,0.000626144,0.000626144,0.000626144
6,75.6118,0.33078,0.76777,1.03138,0.80022,1,0.995,0.93513,0.50333,1.70788,0.71358,0.00073882,0.00073882,0.00073882
7,87.6893,0.40579,0.77224,1.07196,0.90907,1,0.995,0.8552,0.66551,1.75708,1.03028,0.000845952,0.000845952,0.000845952
8,99.9151,0.3519,0.70652,1.00706,0.55393,1,0.995,0.89127,0.48897,3.50445,0.66246,0.00094754,0.00094754,0.00094754
9,112.043,0.35039,0.61159,1.00519,0.36299,0.8,0.86643,0.6093,1.10356,5.27875,1.48058,0.00104358,0.00104358,0.00104358
10,124.233,0.39688,0.65336,1.04501,0.43685,0.8,0.58034,0.30229,2.01834,5.78585,2.43118,0.00113408,0.00113408,0.00113408
11,136.495,0.32622,0.57664,1.01472,0.70563,1,0.995,0.7104,0.90114,1.91066,1.33262,0.00121904,0.00121904,0.00121904
12,148.491,0.37409,0.58736,1.05154,0.63276,1,0.995,0.7237,0.67245,2.96672,0.99149,0.00129845,0.00129845,0.00129845
13,160.563,0.31784,0.46242,1.02411,0.54122,1,0.90611,0.87899,0.31726,3.33858,0.56322,0.00137232,0.00137232,0.00137232
14,172.633,0.32428,0.52709,1.0048,0.54122,1,0.90611,0.87899,0.31726,3.33858,0.56322,0.00144064,0.00144064,0.00144064
15,184.877,0.37255,0.55383,1.08933,0.3539,1,0.81722,0.7929,0.36917,4.10031,0.47175,0.0014456,0.0014456,0.0014456
